participant_id	6_target	8_target
sub-NDARAA075AMK	TRUE	FALSE
sub-NDARAA112DMH	FALSE	FALSE
sub-NDARAA117NEJ	TRUE	FALSE
sub-NDARAC904DMU	FALSE	TRUE
sub-NDARAD481FXF	FALSE	TRUE
sub-NDARAE012DGA	TRUE	FALSE
sub-NDARAE199TDD	FALSE	TRUE
sub-NDARAG143ARJ	TRUE	FALSE
sub-NDARAJ366ZFA	FALSE	TRUE
sub-NDARAJ807UYR	TRUE	FALSE
sub-NDARAK653RYE	FALSE	TRUE
sub-NDARAM048AFP	FALSE	TRUE
sub-NDARAM277WZT	FALSE	TRUE
sub-NDARAM704GKZ	FALSE	FALSE
sub-NDARAN385MDH	FALSE	TRUE
sub-NDARAN461TGQ	FALSE	TRUE
sub-NDARAP359UM6	FALSE	TRUE
sub-NDARAT100AEQ	FALSE	FALSE
sub-NDARAT299YRR	FALSE	FALSE
sub-NDARAU447JZH	FALSE	TRUE
sub-NDARAV534CJH	FALSE	TRUE
sub-NDARAV747WVL	FALSE	TRUE
sub-NDARAV894XWD	FALSE	TRUE
sub-NDARAW320CGR	TRUE	FALSE
sub-NDARAY238DFL	FALSE	FALSE
sub-NDARAY734WB0	FALSE	TRUE
sub-NDARBA507GCT	FALSE	TRUE
sub-NDARBA521RA8	FALSE	FALSE
sub-NDARBB854DRN	FALSE	TRUE
sub-NDARBC580HR5	FALSE	TRUE
sub-NDARBD566RRW	FALSE	FALSE
sub-NDARBD879MBX	FALSE	TRUE
sub-NDARBF805EHN	FALSE	TRUE
sub-NDARBH024NH2	TRUE	FALSE
sub-NDARBK082PDD	TRUE	FALSE
sub-NDARBK669XJQ	FALSE	TRUE
sub-NDARBL117AUV	TRUE	FALSE
sub-NDARBM173BJG	FALSE	TRUE
sub-NDARBM213BEA	FALSE	TRUE
sub-NDARBN100LCD	FALSE	FALSE
sub-NDARBP894XHG	FALSE	TRUE
sub-NDARBT747UHM	TRUE	FALSE
sub-NDARBU112XZE	FALSE	TRUE
sub-NDARBV364MBC	FALSE	FALSE
sub-NDARBX121UM9	FALSE	TRUE
sub-NDARBX400RTC	FALSE	TRUE
sub-NDARBY518PRN	FALSE	FALSE
sub-NDARCA153NKE	TRUE	FALSE
sub-NDARCA186WGH	FALSE	TRUE
sub-NDARCA789EE0	FALSE	TRUE
sub-NDARCB370UK4	FALSE	FALSE
sub-NDARCD401HGZ	FALSE	TRUE
sub-NDARCE353XKH	FALSE	FALSE
sub-NDARCE368YHM	FALSE	FALSE
sub-NDARCE721YB5	TRUE	FALSE
sub-NDARCF247TDJ	TRUE	FALSE
sub-NDARCG984YXZ	TRUE	FALSE
sub-NDARCH755XDL	FALSE	TRUE
sub-NDARCJ170CT9	FALSE	FALSE
sub-NDARCJ363KLE	FALSE	FALSE
sub-NDARCJ475WJP	FALSE	FALSE
sub-NDARCJ594BWQ	FALSE	TRUE
sub-NDARCL080RHP	FALSE	TRUE
sub-NDARCN669XPR	FALSE	TRUE
sub-NDARCP360AFD	TRUE	FALSE
sub-NDARCR499NE4	TRUE	FALSE
sub-NDARCT472UJ7	FALSE	FALSE
sub-NDARCT933HF2	FALSE	TRUE
sub-NDARCU034JPB	TRUE	FALSE
sub-NDARCU417HRA	FALSE	FALSE
sub-NDARCW071AU5	TRUE	FALSE
sub-NDARCW094JCG	TRUE	FALSE
sub-NDARCW419GBD	TRUE	FALSE
sub-NDARCW963FP9	FALSE	TRUE
